orderId,execId,time,exchange,side,shares,symbol,price,permId,liquidation,cumQty,avgPrice
911882320,0000e22a.5c3c371f.01.01,20190114  14:41:54,BYX,BOT,100,TSLA,339.87,1504480123,0,100,339.87
911882324,0000e22a.5c3c3788.01.01,20190114  14:42:24,IBKRATS,SLD,100,TSLA,339,1504480124,0,100,339
911882330,0000e22a.5c3c3789.01.01,20190114  14:42:24,IEX,BOT,100,NFLX,331.18,1504480125,0,100,331.18
911882339,0000e22a.5c3c3790.01.01,20190114  14:42:26,CHX,BOT,100,QQQ,159.01,1504480126,0,100,159.01
911882343,0000e0d5.5c3c4876.01.01,20190114  14:42:27,ARCA,BOT,100,C,57.36,1504480127,0,100,57.36
911882347,0000e22a.5c3c399d.01.01,20190114  14:42:57,IBKRATS,SLD,100,TSLA,339.66,1504480129,0,100,339.66
911882375,0000e22a.5c3c3e47.01.01,20190114  14:46:21,ISLAND,BOT,100,NFLX,331.67,1504480147,0,100,331.67
911882381,0000e0d5.5c3c4ec5.01.01,20190114  14:46:22,ISLAND,BOT,100,AAPL,150.15,1504480148,0,100,150.15
911882387,0000e22a.5c3c3e4a.01.01,20190114  14:46:22,EDGEA,BOT,100,QQQ,158.99,1504480149,0,100,158.99
911882391,0000e0d5.5c3c4ec7.01.01,20190114  14:46:22,NYSE,BOT,100,C,57.44,1504480150,0,100,57.44
911882410,0000e22a.5c3c3f51.01.01,20190114  14:46:54,IEX,SLD,100,QQQ,158.84,1504480151,0,100,158.84
911882420,0000e22a.5c3c410f.01.01,20190114  14:47:25,IBKRATS,SLD,100,NFLX,332.01,1504480152,0,100,332.01
911882427,0000e22a.5c3c4114.01.01,20190114  14:47:25,ISLAND,BOT,100,QQQ,159.11,1504480153,0,100,159.11
911882439,0000e22a.5c3c4236.01.01,20190114  14:47:56,IBKRATS,SLD,100,NFLX,332,1504480154,0,100,332
911882454,0000e0d5.5c3c5428.01.01,20190114  14:47:57,BYX,BOT,100,C,57.36,1504480155,0,100,57.36
911882464,0000e22a.5c3c5089.01.01,20190114  14:56:30,BEX,BOT,100,NFLX,332.78,1504480179,0,100,332.78
911882468,0000e0d5.5c3c6251.01.01,20190114  14:56:31,BEX,BOT,100,AAPL,150.06,1504480180,0,100,150.06
911882472,0000e22a.5c3c508c.01.01,20190114  14:56:31,ISLAND,BOT,100,QQQ,158.93,1504480181,0,100,158.93
911882476,0000e0d5.5c3c6255.01.01,20190114  14:56:32,BYX,BOT,100,C,57.73,1504480182,0,100,57.73
