orderId,execId,time,exchange,side,shares,symbol,price,permId,liquidation,cumQty,avgPrice
910627964,0000e0d5.5c36f106.01.01,20190110  14:36:57,ISLAND,SLD,100,AAPL,152.27,1741117418,0,100,152.27
910627974,0000e0d5.5c36f14d.01.01,20190110  14:37:03,ARCA,BOT,100,AAPL,152.29,1741117419,0,100,152.29
910712647,0000e0d5.5c37832d.01.01,20190110  17:27:57,ISLAND,BOT,100,AAPL,153.11,1692960311,0,100,153.11
910712652,0000e0d5.5c378337.01.01,20190110  17:28:02,ISLAND,BOT,100,AAPL,153.14,1692960312,0,100,153.14
910712657,0000e0d5.5c378340.01.01,20190110  17:28:10,ISLAND,BOT,100,AAPL,153.13,1692960313,0,100,153.13
910712662,0000e0d5.5c378344.01.01,20190110  17:28:15,BYX,BOT,100,AAPL,153.15,1692960314,0,100,153.15
910712667,0000e0d5.5c37835a.01.01,20190110  17:28:21,ISLAND,BOT,100,AAPL,153.19,1692960315,0,100,153.19
910712672,0000e0d5.5c37836d.01.01,20190110  17:28:26,ISLAND,BOT,100,AAPL,153.16,1692960317,0,100,153.16
910712677,0000e0d5.5c378371.01.01,20190110  17:28:32,ARCA,BOT,100,AAPL,153.16,1692960318,0,100,153.16
910712682,0000e0d5.5c378378.01.01,20190110  17:28:37,ISLAND,BOT,100,AAPL,153.18,1692960319,0,100,153.18
910712687,0000e0d5.5c378398.01.01,20190110  17:28:43,ISLAND,BOT,100,AAPL,153.18,1692960320,0,100,153.18
910712692,0000e0d5.5c3783ac.01.01,20190110  17:28:48,BYX,BOT,100,AAPL,153.17,1692960321,0,100,153.17
910712697,0000e0d5.5c3783ba.01.01,20190110  17:28:54,ISLAND,BOT,100,AAPL,153.15,1692960322,0,100,153.15
910712702,0000e0d5.5c3784ca.01.01,20190110  17:32:04,ARCA,SLD,100,AAPL,153.04,1692960323,0,100,153.04
910712747,0000e0d5.5c378572.01.01,20190110  17:33:04,BATS,BOT,100,AAPL,153.06,1692960324,0,100,153.06
910712752,0000e0d5.5c37859f.01.01,20190110  17:33:09,ISLAND,BOT,100,AAPL,153.04,1692960325,0,100,153.04
910712757,0000e0d5.5c3785e4.01.01,20190110  17:33:15,IEX,BOT,100,AAPL,153.03,1692960326,0,100,153.03
910712762,0000e0d5.5c3785ee.01.01,20190110  17:33:20,ISLAND,BOT,100,AAPL,153.04,1692960327,0,100,153.04
910712963,0000e0d5.5c378b25.01.01,20190110  17:40:04,ISLAND,BOT,100,AAPL,153.16,1692960328,0,100,153.16
910713096,0000e0d5.5c378dc0.01.01,20190110  17:43:04,IEX,SLD,100,AAPL,152.97,1692960329,0,100,152.97
910713377,0000e0d5.5c379a21.01.01,20190110  18:00:01,ISLAND,SLD,100,AAPL,153.44,1692960330,0,100,153.44
910713466,0000e0d5.5c379c0a.01.01,20190110  18:02:04,ISLAND,BOT,100,AAPL,153.37,1692960331,0,100,153.37
910713471,0000e0d5.5c379c48.01.01,20190110  18:02:10,ISLAND,BOT,100,AAPL,153.29,1692960332,0,100,153.29
910713476,0000e0d5.5c379c59.01.01,20190110  18:02:15,IEX,BOT,100,AAPL,153.3,1692960333,0,100,153.3
910713481,0000e0d5.5c379c74.01.01,20190110  18:02:21,ISLAND,BOT,100,AAPL,153.32,1692960334,0,100,153.32
910713486,0000e0d5.5c379c79.01.01,20190110  18:02:26,ISLAND,BOT,100,AAPL,153.31,1692960335,0,100,153.31
910713491,0000e0d5.5c379c82.01.01,20190110  18:02:34,ARCA,BOT,100,AAPL,153.31,1692960336,0,100,153.31
910713984,0000e0d5.5c37a29f.01.01,20190110  18:16:04,ISLAND,BOT,100,AAPL,152.5,1692960337,0,100,152.5
910714205,0000e22a.5c376d76.01.01,20190110  18:22:04,EDGEA,SLD,100,SQQQ,14.69,1692960338,0,100,14.69
910714250,0000e22a.5c376dc9.01.01,20190110  18:23:04,EDGEA,BOT,100,SQQQ,14.7,1692960339,0,100,14.7
910714255,0000e22a.5c376dce.01.01,20190110  18:23:10,EDGEA,BOT,100,SQQQ,14.7,1692960340,0,100,14.7
910714420,0000e22a.5c376f05.01.01,20190110  18:26:57,BATS,SLD,100,SQQQ,14.62,1692960341,0,100,14.62
910714531,0000e22a.5c376f8e.01.01,20190110  18:28:50,EDGEA,BOT,100,SQQQ,14.65,1692960342,0,100,14.65
910714593,0000e22a.5c377004.01.01,20190110  18:29:30,EDGEA,BOT,100,SQQQ,14.64,1692960343,0,100,14.64
910714598,0000e22a.5c377005.01.01,20190110  18:29:35,EDGEA,SLD,100,SQQQ,14.62,1692960344,0,100,14.62
910714603,0000e22a.5c377006.01.01,20190110  18:29:36,BYX,SLD,100,SQQQ,14.62,1692960345,0,100,14.62
910714748,0000e22a.5c3774a2.01.01,20190110  18:41:04,ISLAND,BOT,200,SQQQ,14.74,1692960377,0,200,14.74
910714801,0000e22a.5c377976.01.01,20190110  18:53:02,BYX,SLD,100,SQQQ,14.68,1692960378,0,100,14.68
910714801,0000e22a.5c377977.01.01,20190110  18:53:02,BEX,SLD,100,SQQQ,14.68,1692960378,0,200,14.68
